Name,score
Afghan Hound,4.0
Mal Shi,0.0
Beaski,5.0
Bedlington Terrier,4.0
Miniature Pinscher,4.0
Maltese Mix,2.0
Miniature Husky,4.0
Shiba Inu Mix,5.0
Staffordshire Bull Terrier,2.0
Irish Setter,5.0
Keagle,5.0
Boxsky,5.0
Gerberian Shepsky,3.0
Boggle,3.0
Canaan Dog,5.0
Gordon Setter,5.0
Pitsky,3.0
Bluetick Coonhound,5.0
Boxer Mix,5.0
Beagle,5.0
Pomeagle,5.0
Boxweiler,5.0
Pyrenean Shepherd,3.0
Belgian Sheepdog,2.0
Spanish Water Dog,3.0
Shollie,3.0
Catahoula Leopard,3.0
Entlebucher Mountain Dog,3.0
Silver Labrador,5.0
Plott Hound Mix,5.0
