Name,score
Asian Lady Beetle,5.0
Rufous Hummingbird,5.0
Ladybug,5.0
Cardinal,5.0
Hornet,5.0
Ruby Crowned Kinglet,5.0
Cicada,2.0
Savannah Sparrow,5.0
Kissing Bugs,2.0
Northern Jacana,5.0
Western Tanager,5.0
Swainsons Hawk 2,5.0
Scissor Tailed Flycatcher,5.0
Xeme Sabines Gull,5.0
Locust,0.0
Warbler,5.0
Woodpecker,5.0
Purple Gallinule,5.0
Flycatcher,5.0
Turkey,5.0
Western Kingbird,5.0
Summer Tanager,5.0
American Dog Tick,1.0
Green Snake,5.0
Dinosaur Shrimp,5.0
White Bass,5.0
Spider Wasp,5.0
Mealybug,3.0
Woodlouse Spider,5.0
Barn Swallow,5.0
