Name,score
Penguin,0.0
Cuttlefish,0.0
Purple Emperor,0.0
Possum,0.0
Malayan Tiger,0.0
King Penguin,0.0
Wyandotte Chicken,0.0
Junglefowl,0.0
Walking Catfish,0.0
Magellanic Penguin,0.0
Rock Bass,0.0
Fennec Fox,0.0
Flounder,0.0
Humboldt Penguin,0.0
Booby,0.0
Cockatoo,0.0
Ayam Cemani,0.0
Polyphemus Moth,0.0
Galapagos Penguin,0.0
Mexican Alligator Lizard,0.0
African Golden Cat,0.0
Birds Of Paradise,0.0
Sussex Chicken,0.0
New Hampshire Red Chicken,0.0
Orchid Dottyback,0.0
Barnevelder,0.0
Sandpiper,0.0
Snow Bunting,0.0
Lhasa Apso,0.0
Larder Beetle,0.0
