Name,score
Penguin,3.0
Cuttlefish,5.0
Purple Emperor,4.0
Possum,0.0
Malayan Tiger,2.0
King Penguin,2.0
Wyandotte Chicken,0.0
Junglefowl,2.0
Walking Catfish,3.0
Magellanic Penguin,3.0
Rock Bass,5.0
Fennec Fox,2.0
Flounder,5.0
Humboldt Penguin,4.0
Booby,0.0
Cockatoo,0.0
Ayam Cemani,3.0
Polyphemus Moth,4.0
Galapagos Penguin,3.0
Mexican Alligator Lizard,5.0
African Golden Cat,0.0
Birds Of Paradise,0.0
Sussex Chicken,0.0
New Hampshire Red Chicken,0.0
Orchid Dottyback,5.0
Barnevelder,0.0
Sandpiper,3.0
Snow Bunting,3.0
Lhasa Apso,0.0
Larder Beetle,0.0
