Name,[features],score
Collared Peccary,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=7.290997,originalScore=10.936496",5.0
Belgian Malinois,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=6.25274,originalScore=9.37911",0.0
Dutch Shepherd,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=5.6602135,originalScore=8.49032",5.0
Zebu,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=5.654212,originalScore=8.481318",5.0
Elephant,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.77098,queryMatchMigratory=0.0,queryMatchText=5.3561897,originalScore=8.034284",4.0
Goat,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.3765256,queryMatchMigratory=0.0,queryMatchText=5.1371217,originalScore=7.7056823",3.0
Highland Cattle,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=5.05675,originalScore=7.5851245",3.0
Springbok,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.219549,queryMatchMigratory=0.0,queryMatchText=5.041184,originalScore=7.5617757",5.0
Dik Dik,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=6.516106,queryMatchMigratory=0.0,queryMatchText=4.968803,originalScore=7.4532037",5.0
Spanish Water Dog,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=4.2353454,queryMatchMigratory=0.0,queryMatchText=4.906206,originalScore=7.3593097",0.0
Impala,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=4.8026056,originalScore=7.2039084",5.0
Antelope,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=4.790543,originalScore=7.1858144",5.0
Briard,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=4.778278,originalScore=7.167417",3.0
Capybara,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.9400326,queryMatchMigratory=0.0,queryMatchText=4.7349143,originalScore=7.1023717",0.0
Groenendael,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.9998418,queryMatchMigratory=0.0,queryMatchText=4.7269664,originalScore=7.09045",2.0
Giraffe,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=4.66802,originalScore=7.0020294",0.0
Mongoose,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=4.567856,originalScore=6.8517838",5.0
Deer,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=4.5044074,originalScore=6.7566104",4.0
Bordoodle,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.9805464,queryMatchMigratory=0.0,queryMatchText=4.481084,originalScore=6.7216253",2.0
Rhesus Macaque,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=3.220338,queryMatchMigratory=0.0,queryMatchText=4.450762,originalScore=6.6761427",4.0
Wood Bison,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=2.055843,queryMatchMigratory=0.0,queryMatchText=4.3480616,originalScore=6.5220923",3.0
Catalan Sheepdog,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=3.1076746,queryMatchMigratory=0.0,queryMatchText=4.331635,originalScore=6.4974527",2.0
Black Mouth Cur,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=3.2772453,queryMatchMigratory=0.0,queryMatchText=4.3174763,originalScore=6.4762144",4.0
Cotton Top Tamarin,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=4.309997,originalScore=6.4649954",5.0
Malayan Tiger,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=4.3079405,originalScore=6.461911",0.0
Hokkaido,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.2980266,queryMatchMigratory=0.0,queryMatchText=4.2459283,originalScore=6.3688927",2.0
Berger Picard,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.0529089,queryMatchMigratory=0.0,queryMatchText=4.2249722,originalScore=6.3374586",2.0
German Shepherd,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=4.171444,originalScore=6.257166",3.0
Kiang,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.2834918,queryMatchMigratory=0.0,queryMatchText=4.167766,originalScore=6.251649",4.0
Agama Lizard,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=7.5864735,queryMatchMigratory=0.0,queryMatchText=4.0948563,originalScore=6.1422844",5.0
