Name,score
Rhesus Macaque,4.0
Bilby,4.0
Dutch Shepherd,5.0
Briard,3.0
Agama Lizard,5.0
Japanese Squirrel,3.0
Husky,2.0
Woolly Monkey,4.0
Plott Hounds,3.0
Kooikerhondje,3.0
Tyrannosaurus Rex,0.0
Vampire Bat,0.0
Hokkaido,0.0
Saber Toothed Tiger,0.0
Muskrat,5.0
Coyote,5.0
Harp Seal,3.0
Cotton Top Tamarin,5.0
Double Doodle,2.0
Brown Headed Cowbird,3.0
Great White Shark,0.0
Deer,4.0
Zebu,5.0
Macaque,5.0
Lace Monitor,3.0
Collared Peccary,5.0
Mandrill,5.0
Korean Jindo,5.0
English Longhorn Cattle,5.0
Furrow Bee,3.0
