Name,score
Elf Owl,0.0
Leptocephalus,0.0
Mule Deer,0.0
Spanish Mackerel,0.0
Black Witch Moth,0.0
Desert Kingsnake,0.0
Bronze Whaler Shark,0.0
Sturgeon,0.0
Buffalo Fish,0.0
Black Sea Bass,0.0
Gopher,0.0
Needlefish,0.0
Yellowtail Snapper,0.0
Ocean Whitefish,0.0
Mangrove Snapper,0.0
Viperfish,0.0
Blue Catfish,0.0
Elephant Seal,0.0
Striped Bass,0.0
Bighorn Sheep,0.0
Hogfish,0.0
Vaquita,0.0
Leopard Shark,0.0
Axolotl,0.0
Paddlefish,0.0
White Marlin,0.0
Chinese Paddlefish,0.0
Grizzly Bear,0.0
Great Hammerhead Shark,0.0
Lobster,0.0
